code	name	level	category	parent	apqcCategories	description
HR	Human Resources	Category	Human Resources		07	Talent management, people operations, and organizational development
TA	Talent Acquisition	Department	Human Resources	Human Resources	07	Recruiting, employer branding, candidate experience, and hiring operations
LND	Learning & Development	Department	Human Resources	Human Resources	07	Training programs, leadership development, and career pathing
COMP	Compensation & Benefits	Department	Human Resources	Human Resources	07	Pay structures, equity programs, benefits administration, and total rewards
ER	Employee Relations	Department	Human Resources	Human Resources	07	Workplace policies, conflict resolution, and employee engagement
POPS	People Operations	Department	Human Resources	Human Resources	07	HRIS management, onboarding/offboarding, and HR process automation
DEI	Diversity Equity & Inclusion	Department	Human Resources	Human Resources	07	DEI strategy, employee resource groups, and inclusive hiring practices
IT	Information Technology	Category	Information Technology		08	IT infrastructure, security, applications, and data management
INFRA	IT Infrastructure	Department	Information Technology	Information Technology	08	Network, servers, cloud infrastructure, and endpoint management
SEC	Cybersecurity	Department	Information Technology	Information Technology	08	Security operations, threat detection, incident response, and compliance
EAPPS	Enterprise Applications	Department	Information Technology	Information Technology	08	ERP, CRM, and business application administration and integration
ITSM	IT Service Management	Department	Information Technology	Information Technology	08	Help desk, asset management, and IT service delivery
DENG	Data Engineering	Department	Information Technology	Information Technology	08	Data pipelines, data warehousing, ETL, and data platform management
FIN	Finance	Category	Finance		09	Financial planning, accounting, treasury, and fiscal management
ACCT	Accounting	Department	Finance	Finance	09	General ledger, financial reporting, month-end close, and audit coordination
FPA	Financial Planning & Analysis	Department	Finance	Finance	09	Budgeting, forecasting, variance analysis, and financial modeling
TREAS	Treasury	Department	Finance	Finance	09	Cash management, banking relationships, investments, and liquidity management
TAX	Tax	Department	Finance	Finance	09	Tax planning, compliance, filing, and transfer pricing
AP	Accounts Payable	Department	Finance	Finance	09	Invoice processing, vendor payments, and expense management
AR	Accounts Receivable	Department	Finance	Finance	09	Billing, collections, credit management, and cash application
PAY	Payroll	Department	Finance	Finance	09	Payroll processing, tax withholding, and compensation disbursement
AUDIT	Internal Audit	Department	Finance	Finance	09	Financial controls, process audits, and compliance verification
FAC	Facilities & Assets	Category	Facilities & Assets		10	Facilities operations, real estate, and asset lifecycle management
FACMG	Facilities Management	Department	Facilities & Assets	Facilities & Assets	10	Office operations, space planning, maintenance, and workplace services
RE	Real Estate	Department	Facilities & Assets	Facilities & Assets	10	Lease management, site selection, and property portfolio management
PASST	Procurement & Asset Management	Department	Facilities & Assets	Facilities & Assets	10	Capital asset tracking, disposal, and lifecycle management
LEGAL	Legal & Compliance	Category	Legal & Compliance		11	Legal services, regulatory compliance, and enterprise risk management
CLEG	Corporate Legal	Department	Legal & Compliance	Legal & Compliance	11	Corporate governance, M&A legal support, and entity management
CMLEG	Commercial Legal	Department	Legal & Compliance	Legal & Compliance	11	Contract review, negotiation, and commercial agreements
IP	Intellectual Property	Department	Legal & Compliance	Legal & Compliance	11	Patent strategy, trademark management, and IP portfolio protection
REGC	Regulatory Compliance	Department	Legal & Compliance	Legal & Compliance	11	Regulatory monitoring, policy development, and compliance programs
PRIV	Privacy & Data Protection	Department	Legal & Compliance	Legal & Compliance	11	Data privacy programs, GDPR/CCPA compliance, and privacy impact assessments
RISK	Risk Management	Department	Legal & Compliance	Legal & Compliance	11	Enterprise risk assessment, mitigation planning, and business continuity
EXTRL	External Relations	Category	External Relations		12	Government, investor, and community engagement
GOV	Government Relations	Department	External Relations	External Relations	12	Lobbying, regulatory engagement, and public policy advocacy
IR	Investor Relations	Department	External Relations	External Relations	12	Shareholder communications, earnings reporting, and investor engagement
CR	Community Relations	Department	External Relations	External Relations	12	Corporate social responsibility, philanthropy, and community engagement
BIZDC	Business Development & Capabilities	Category	Business Development & Capabilities		13	Corporate development, intelligence, and organizational transformation
CDEV	Corporate Development	Department	Business Development & Capabilities	Business Development & Capabilities	13	M&A execution, due diligence, and post-merger integration
BI	Business Intelligence	Department	Business Development & Capabilities	Business Development & Capabilities	13	Analytics, reporting, dashboards, and data-driven insights
INNOV	Innovation & Transformation	Department	Business Development & Capabilities	Business Development & Capabilities	13	Digital transformation, process improvement, and change management
